place_name,place_img,place_map,category,city,rating,price,gabungan
Curug Luhur Waterfall,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/11.%20Curug%20Luhur%20Waterfall/main/11.%20Curug%20Luhur%20Waterfall/Utama/Curug-Luhur-ade_martha_dedex.jpg,https://www.google.com/maps/search/Curug+Luhur+Waterfall,Cagar Alam,Bandung,4.2,45000.0,sekitaran bandung sekali curug dari yang kekinian terlupakan kurang terdengar baru dengar salah satunya curug luhur cibodas di daerah maribaya lembang di sekitar area 3 curug penduduk lokal menyebutnya curug cibodas disebut curug keraton sekarang dikenal curug luhur selain yang curug lalay yang tidak terlalu tinggi satu lagi curug yang paling tinggi diarea sini curug luhur posisinya kedalam lagi sekitar 3 km dari pos masuk jarang orang yang kesana cagar alam bandung
Curug Malela,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/12.%20Curug%20Malela/main/lokasi-dan-harga-tiket-masuk-curug-malela-bandung-jawa-barat.jpg,https://www.google.com/maps/search/Curug+Malela,Cagar Alam,Bandung,4.5,5500.0,curug malela air terjun yang terletak di kabupaten bogor jawa barat indonesia air terjun menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian ditambah dengan latar belakang hutan yang hijau suasana sejuk alami membuat curug malela menjadi tempat yang cocok untuk bersantai menikmati keindahan alam pengunjung berjalan menyusuri aliran sungai menuju air terjun merasakan keindahan alam yang menyejukkan cagar alam bandung
Curug Tilu Leuwi Opat,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/13.%20Curug%20Tilu%20Leuwi%20Opat/main/wandy-payz.jpg,https://www.google.com/maps/search/Curug+Tilu+Leuwi+Opat,Cagar Alam,Bandung,4.4,10000.0,curug tilu leuwi opat air terjun yang terletak di kabupaten bandung jawa barat indonesia air terjun menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona pengunjung menikmati pemandangan yang menakjubkan suara gemuruh air terjun segarnya air yang jatuh curug tilu leuwi opat dikelilingi hutan hijau yang memperkaya pengalaman alam tempat merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam suasana yang tenang cagar alam bandung
Desa Wisata Kampung Cai Ranca Upas,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/14.%20Desa%20Wisata%20Kampung%20Cai%20Ranca%20Upas/main/kampung-cai-ranca-upas-jawa-barat.jpg,https://www.google.com/maps/search/Desa+Wisata+Kampung+Cai+Ranca+Upas,"Cagar Alam,Desa Wisata",Bandung,4.7,10000.0,desa menawarkan suasana pedesaan yang alami keindahan alam yang memukau dengan pemandangan sawah perkebunan teh udara segar yang menyejukkan cagar alam desa wisata bandung
Dusun Bambu,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/15.%20Dusun%20Bambu/main/dusun-bambu.jpg,https://www.google.com/maps/search/Dusun+Bambu,Taman Hiburan,Bandung,4.5,20000.0,dusun bambu destinasi wisata keluarga yang terletak di lembang bandung indonesia tempat menawarkan pengalaman yang unik dengan suasana pedesaan pemandangan pegunungan area hijau yang luas pengunjung menikmati aktivitas seperti naik perahu berkemah berkeliling taman bunga menikmati kuliner tradisional dusun bambu memiliki area bermain anak taman bermain air penginapan yang nyaman tempat cocok untuk rekreasi keluarga bersantai sambil menikmati keindahan alam taman hiburan bandung
Gua Pawon,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/16.%20Gua%20Pawon/main/large-shutterstock-1857884944-dea0b3a78785efba51bd82f96760fc13.jpg,https://www.google.com/maps/search/Gua+Pawon,"Budaya,Cagar Alam",Bandung,4.5,10000.0,gua pawon gua alami situs purbakala yang terletak di desa gunung masigit kecamatan cipatat padalarang kabupaten bandung barat sekitar 25 km arah barat kota bandung merupakan tempat yang penting bagi orang sunda di sanalah tempat berkumpulnya sesepuh sunda yang sekarang menduduki bagian barat pulau jawa di sana ditemukan kerangka manusia purba yang konon nenek moyang orang sunda diteliti di balai arkeolog bandung budaya cagar alam bandung
Gunung Lalakon,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/17.%20Gunung%20Lalakon/main/th1_2020102010051989908.jpg,https://www.google.com/maps/search/Gunung+Lalakon,"Cagar Alam,Taman Nasional",Bandung,4.8,0.0,gunung lalakon gunung yang terletak di kabupaten garut jawa barat indonesia gunung memiliki pemandangan alam yang memukau dengan hutan yang hijau udara yang segar pendakian ke puncak gunung lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak dari puncaknya pengunjung menikmati panorama yang memukau termasuk lembah gunung gunung di sekitarnya gunung lalakon cocok untuk pendaki yang ingin mengeksplorasi keindahan alam menikmati kegiatan outdoor cagar alam taman nasional bandung
Gunung Manglayang,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/18.%20Gunung%20Manglayang/main/Mont_Manglayang.jpg,https://www.google.com/maps/search/Gunung+Manglayang,"Cagar Alam,Taman Nasional",Bandung,4.5,7500.0,gunung manglayang gunung yang terletak di kabupaten bandung jawa barat indonesia dengan ketinggian sekitar 1 806 meter gunung menawarkan pendakian menantang pemandangan alam yang memukau di gunung manglayang pengunjung menikmati keindahan hutan air terjun pemandangan kota bandung gunung manglayang menjadi habitat bagi flora fauna yang melimpah menjadikannya tempat yang ideal untuk kegiatan pendakian petualangan alam cagar alam taman nasional bandung
Happyfarm Ciwidey,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/19.%20Happyfarm%20Ciwidey/main/54512746_157937735227169_8851216446142416406_n-FILEminimizer.jpg,https://www.google.com/maps/search/Happyfarm+Ciwidey,Cagar Alam,Bandung,4.3,15000.0,objek wisata alam edukasi tengah menjamur akhir akhir selain de ranch farmhouse lembang happy farm ciwidey di bandung objek wisata terbilang baru baru bulan juni 2019 berdiri konsepnya hampir sama wisata alam peternakan dengan unsur edukasi cocok menjadi tujuan wisata keluarga terutama untuk anak anak semakin seru bermain di area outdoor dengan udara sejuk cagar alam bandung
Jendela Alam ,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/20.%20Jendela%20Alam%20/main/jendela-alam.jpg,https://www.google.com/maps/search/Jendela+Alam+,Taman Hiburan,Bandung,4.4,20000.0,tidak menikmati alam sekitar yang sejuk hijau anak anda mengikuti kegiatan edukasi yang bermanfaat kegiatan edukasi disediakan dirancang sedemikian rupa sehingga menarik buat keluarga kegiatan edukasi yang tersedia cocok untuk anak mulai dari usia tk dengan sma taman hiburan bandung
Kawah Putih,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/21.%20Kawah%20Putih/main/cara-menuju-ke-wisata-kawah-putih-ciwidey-cantik-nian-bikin-ogah-pulang-LJDtNcdNbe.jpg,https://www.google.com/maps/search/Kawah+Putih,"Cagar Alam,Taman Nasional",Bandung,4.5,81000.0,kawah putih tempat wisata di jawa barat yang terletak di desa alam endah kecamatan rancabali kabupaten bandung jawa barat yang terletak di kaki gunung patuha kawah putih merupakan danau yang terbentuk dari letusan gunung patuha tanah yang bercampur belerang di sekitar kawah berwarna putih warna air yang berada di kawah berwarna putih kehijauan yang unik dari kawah airnya kadang berubah warna danau kawah putih sendiri berada ketinggian 2194 m luas total danau kawah putih 25 ha yang dipakai wisata 5 ha lokasi kawah sendiri 3 ha cagar alam taman nasional bandung
Kawah Rengganis Cibuni,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/22.%20Kawah%20Rengganis%20Cibuni/main/Kolam%20Pancuran%20di%20Kawah%20Rengganis.jpg,https://www.google.com/maps/search/Kawah+Rengganis+Cibuni,"Cagar Alam,Taman Nasional",Bandung,4.4,5000.0,kawah rengganis cibuni kawah aktif yang terletak di garut jawa barat indonesia kawah dikelilingi perkebunan teh yang hijau pengunjung menyaksikan fenomena geologi seperti uap belerang air panas yang mengalir di sekitar kawah kawah rengganis cibuni menawarkan pemandangan alam yang eksotis pengalaman mendebarkan bagi pengunjung yang tertarik dengan keindahan alam geologi cagar alam taman nasional bandung
Kebun Binatang Bandung,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/23.%20Kebun%20Binatang%20Bandung/main/kebun-binatang-bandung_169.jpeg,https://www.google.com/maps/search/Kebun+Binatang+Bandung,Cagar Alam,Bandung,4.1,20000.0,kebun binatang bandung merupakan salah satu objek wisata alam flora fauna di kota bandung jawa barat indonesia kebun binatang bandung terletak berdampingan dengan kampus institut teknologi bandung sungai cikapundung cagar alam bandung
Kebun Tanaman Obat Sari Alam,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/24.%20Kebun%20Tanaman%20Obat%20Sari%20Alam/main/KTO-Sari-Alam.jpg,https://www.google.com/maps/search/Kebun+Tanaman+Obat+Sari+Alam,Cagar Alam,Bandung,4.8,0.0,kebun tanaman obat sari alam terkenal dengan sebutan wisata pengobatan herbal disana terdapat sekali tanaman yang dijadikan pengobatan alternative kebun tanaman obat sari alam dikenal orang bandung dengan sebutan kto sari alam lokasi jl raya ciwidey bandung km 26 no 8 rt 1 rw 2 kampung andir cukanggenteng kec pasirjambu kab bandung jawa barat 40972 cagar alam bandung
Orchid Forest Cikole,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/25.%20Orchid%20Forest%20Cikole/main/kebun-teh-bandung-min.jpg,https://www.google.com/maps/search/Orchid+Forest+Cikole,"Cagar Alam,Taman Hiburan",Bandung,4.6,50000.0,orchid forest cikole lembang berdiri sejak agustus tahun 2017 tempat merupakan taman anggrek terluas di indonesia berada di tengah kawasan hutan lindung terbentang seluas 12 hektar setidaknya terdapat 157 jenis bunga anggrek beraneka macam dikembangkan di sini orchid forest cikole bandung memfokuskan diri untuk memperkenalkan membudidayakan tanaman anggrek menggunakan metode lokal maupun internasional spesies anggreknya tidak berasal dari indonesia yang memang merupakan negara kedua terbanyak memiliki varian anggrek tanaman anggrek di orchid forest berasal dari negara seperti venezuela argentina filipina peru amerika serikat cagar alam taman hiburan bandung
Perkebunan Teh Malabar,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/26.%20Perkebunan%20Teh%20Malabar/main/kebun-teh-bandung-min.jpg,https://www.google.com/maps/search/Perkebunan+Teh+Malabar,Cagar Alam,Bandung,5.0,10000.0,salah satu perkebunan teh yang cukup terkenal di jawa barat perkebunan teh malabar yang dibangun masa penjajahan kolonial belanda tahun 1896 perkebunan masuk wilayah kecamatan pangalengan kabupaten bandung kira kira 45 km dari pusat kota bandung anda berkunjung ke daerah maka mata dimanjakan dengan aktivitas penduduk setempat yang mayoritas penduduknya menjadi pemetik teh memelihara sapi perah jadi jangan heran apabila anda memasuki daerah anda melihat penduduk yang sedang memetik di kebun teh memelihara sapi untuk mencapai perkebunan malabar yang di pangalengan anda menempuh perjalanan yang panjang berkelok kelok membuat anda berhati hati cagar alam bandung
Sanghyang Heuleut,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/27.%20Sanghyang%20Heuleut/main/nqzfyshhj5morqxhtfnc.jpg,https://www.google.com/maps/search/Sanghyang+Heuleut,"Budaya,Cagar Alam",Bandung,4.4,15000.0,danau yang satu memiliki air jernih bernuansa kehijauan yang berpadu indah dengan tebing batu berukuran besar di sekelilingnya di sela sela bebatuan menemukan pepohonan rerumputan hijau yang menyegarkan mata bebatuannya yang tinggi bahkan kerap digunakan tempat traveler untuk meloncat indah menuju danau purba tersebut danau sanghyang heuleut memiliki kedalaman sekitar tiga meter jadi sebelum masuk ke danau pastikan berenang tidak tenggelam setidaknya telah memiliki perlengkapan seperti jaket pelampung budaya cagar alam bandung
Saung Angklung Mang Udjo,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/28.%20Saung%20Angklung%20Mang%20Udjo/main/Saung-Angklung-Udjo-750x450.jpg,https://www.google.com/maps/search/Saung+Angklung+Mang+Udjo,Budaya,Bandung,4.7,75000.0,saung angklung mang udjo tempat wisata budaya yang terletak di bandung jawa barat indonesia tempat memperkenalkan seni budaya sunda terutama alat musik tradisional angklung pengunjung menyaksikan pertunjukan angklung yang menarik berpartisipasi belajar memainkan angklung menikmati tarian musik tradisional saung angklung mang udjo merupakan destinasi yang cocok untuk menikmati keindahan seni budaya tradisional sunda suasana yang ramah interaktif budaya bandung
Selasar Sunaryo Art Space,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/29.%20Selasar%20Sunaryo%20Art%20Space/main/pengunjung-melihat-karya-seni-grafis-yang-dipajang-pada-pameran_211221173151-940.jpg,https://www.google.com/maps/search/Selasar+Sunaryo+Art+Space,"Budaya,Taman Hiburan",Bandung,4.6,25000.0,selasar sunaryo art space ssas galeri seni yang terletak di bandung indonesia tempat menampilkan karya seni kontemporer lingkungan yang indah ssas menggabungkan seni alam dengan instalasi seni di alam terbuka pengunjung menikmati pameran seni pertunjukan musik acara budaya di sini budaya taman hiburan bandung
Sendang Geulis Kahuripan,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/30.%20Sendang%20Geulis%20Kahuripan/main/wisata-Sendang-Geulis-Kahuripan-e1573129312445.jpg,https://www.google.com/maps/search/Sendang+Geulis+Kahuripan,"Budaya,Cagar Alam",Bandung,4.3,10000.0,wilayah tepatnya berada di rph cikalong wetan bkph padalarang perum perhutani bkph bandung utara dilihat dari kawasannya mengingatkan saya salah satu objek wisata yang berada di jawa tengah tepatnya berada di klaten umbul ponggok namanya bagi sobat native yang ke umbul ponggok objek wisata sendang hampir sama persis di kawasan digunakan secara serba guna maksud dari serba guna sumber mata air yang keluar dari objek wisata digunakan sebagian masyarakat sekitar tempat mencuci tunggu dulu jangan merasa jijik dahulu sumber mata air yang menghasilkan sendang hampir menit mengalir air air bersih budaya cagar alam bandung
Situ Cileunca,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/31.%20Situ%20Cileunca/main/wisata-Situ-Cileunca-bandung-e1570184069293.jpg,https://www.google.com/maps/search/Situ+Cileunca,Cagar Alam,Bandung,4.6,5000.0,situ cileunca yang berlokasi di warnasari pangalengan bandung jawa barat danau buatan dengan luas mencapai 1 400 hektar dengan latar belakang perbukitan pegunungan yang indah selain difungsikan objek wisata situ cileunca berfungsi pembangkit listrik tenaga air plta air yang berasal dari danau tersebut dialirkan melalui sungai palayangan sungai pula yang sering dijadikan arena ber arung jeram kedalaman danau mencapai 17 meter sebelum tahun 1918 merupakan hutan belantara yang diubah menjadi situ yang berfungsi melayani kebutuhan air masyarakat cagar alam bandung
Stone Garden Citatah,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/32.%20Stone%20Garden%20Citatah/main/Stone-Garden-Citatah.jpg,https://www.google.com/maps/search/Stone+Garden+Citatah,"Budaya,Cagar Alam",Bandung,4.4,15000.0,stone garden sebutan nama untuk hamparan tanah yang diisi formasi batuan tak beraturan yang indah membentuk taman alam bandung memiliki wisata alam yang luar biasa ternyata bandung memiliki wisata alam gua gua pawon wisata stone garden gua pawon merupakan gua yang terbentuk zaman purba gua digunakan manusia purba tempat berlindung uniknya di atas gua pawon terdapat hamparan bebatuan yang indah dengan pemandangan luar biasa dikenal dengan nama stone garden taman batu tidak kalah indah dengan wisata alam tangkuban perahu kawah putih ciwidey situ patengan merupakan kawasan wisata alam yang sering dikunjungi wisatawan lokal maupun mancanegara budaya cagar alam bandung
Sungai Palayangan,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/33.%20Sungai%20Palayangan/main/Rafting-Pangalengan-d.jpg,https://www.google.com/maps/search/Sungai+Palayangan,Cagar Alam,Bandung,5.0,6000.0,sungai palayangan terletak di kawasan objek wisata situ cileunca pangalengan kab bandung sekitar 45 km kurang 2 jam perjalanan dari pusat kota bandung lokasi arung jeram yang paling populer di kawasan bandung selatan memiliki kelebihan dibandingkan dengan sungai sungai yang nberikut kelebihan kelebihan arung jeram di sungai palayangan cagar alam bandung
Taman Begonia,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/34.%20Taman%20Begonia/main/taman-begonia-lembang.jpg,https://www.google.com/maps/search/Taman+Begonia,"Cagar Alam,Taman Hiburan",Bandung,4.4,25000.0,taman begonia taman bunga yang terletak di lembang bandung indonesia taman menampilkan kebun bunga yang indah beragam terutama begonia dengan warna varietas yang menawan pengunjung menikmati pemandangan bunga yang cantik mengambil foto yang menakjubkan di tengah tengah kebun yang indah taman begonia tempat yang ideal untuk menghabiskan waktu santai menikmati keindahan alam keharuman bunga yang memikat cagar alam taman hiburan bandung
Taman Bunga Cihideung,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/35.%20Taman%20Bunga%20Cihideung/main/taman-bunga-cihideung-bandung.jpg,https://www.google.com/maps/search/Taman+Bunga+Cihideung,Cagar Alam,Bandung,4.2,5000.0,taman bunga cihideung mempunyai pesona alam yang sederhana mampu menghasilkan landscape yang menyita perhatian pesona dari kebun taman bunga padahal sebatas tumbuhan sejenis bunga pula daya tarik sehingga membuat destinasi wisata alam masuk ke list wisata bandung salah satunya area spot foto yang kekinian instagramable yang menjadi incaran utama wisatawan remaja khususnya bagi influencer yang sedang mencari latar sempurna untuk konten cagar alam bandung
Taman Hutan Raya Ir. H. Djuanda,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/36.%20Taman%20Hutan%20Raya%20Ir.%20H.%20Djuanda/main/konser.png,https://www.google.com/maps/search/Taman+Hutan+Raya+Ir.+H.+Djuanda,"Budaya,Taman Hiburan",Bandung,4.6,15000.0,taman hutan raya ir h djuanda taman konservasi yang terletak di bandung jawa barat indonesia taman menawarkan keindahan alam yang meliputi hutan air terjun danau pengunjung menikmati trekking bersepeda piknik di area yang luas taman hutan raya ir h djuanda menjadi tempat penelitian pelestarian flora fauna langka budaya taman hiburan bandung
Taman Kupu-Kupu Cihanjuang,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/37.%20Taman%20Kupu-Kupu%20Cihanjuang/main/Taman-Kupu-Kupu-Cihanjuang-Bandung.jpg,https://www.google.com/maps/search/Taman+Kupu-Kupu+Cihanjuang,"Budaya,Cagar Alam",Bandung,4.1,10000.0,taman kupu kupu cihanjuang taman wisata yang terletak di bandung jawa barat indonesia di taman pengunjung menikmati keindahan keunikan kupu kupu yang jenis warna terdapat beragam tanaman bunga yang menjadi habitat bagi kupu kupu taman memberikan pengalaman yang menenangkan edukatif kehidupan kupu kupu menjaga kelestarian alam budaya cagar alam bandung
Taman Wisata Alam Cikole,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/38.%20Taman%20Wisata%20Alam%20Cikole/main/Orchid%20Forest%20Cikole%20Lembang.jpg,https://www.google.com/maps/search/Taman+Wisata+Alam+Cikole,"Budaya,Cagar Alam",Bandung,4.6,20000.0,taman wisata alam cikole tempat wisata alam yang terletak di lembang bandung indonesia taman memiliki luas sekitar 110 hektar menawarkan macam kegiatan seperti camping hiking off road flying fox pengunjung menikmati keindahan alam bermain air menikmati kuliner khas daerah budaya cagar alam bandung
Taman Wisata Alam Ranca Upas,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/39.%20Taman%20Wisata%20Alam%20Ranca%20Upas/main/Ranca-Upas-hargatiket.jpg,https://www.google.com/maps/search/Taman+Wisata+Alam+Ranca+Upas,"Budaya,Cagar Alam",Bandung,4.5,25000.0,taman wisata alam ranca upas tempat wisata alam yang terletak di ciwidey bandung jawa barat indonesia taman terkenal dengan keberadaan padang rumput yang hijau segar kawanan rusa yang berkeliaran pengunjung menikmati suasana alam yang sejuk asri melakukan kegiatan seperti camping hiking berkuda selain di sini terdapat kolam pancing area piknik yang menyenangkan budaya cagar alam bandung
Tebing Karaton,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/40.%20Tebing%20Karaton/main/jelajahi-tebing-keraton-bandung-pemandangannya-bikin-betah-liburan-I9AuwTaRkb.jpg,https://www.google.com/maps/search/Tebing+Karaton,"Budaya,Cagar Alam",Bandung,4.5,15000.0,tebing keraton tebing karaton merupakan tebing yang berada di kawasan taman hutan raya ir h djuanda tebing terletak di kampung ciharegem puncak desa ciburial bandung jawa barat indonesia dari tebing keraton menikmati pemandangan spektakuler lampu kota melainkan hutan budaya cagar alam bandung
Taman Nasional Ujung Kulon,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/41.%20Taman%20Nasional%20Ujung%20Kulon/main/dampak-corona-objek-wisata-di-taman-nasional-ujung-kulon-ditutup-PjXxYwJVvW.jpg,https://www.google.com/maps/search/Taman+Nasional+Ujung+Kulon,"Budaya,Cagar Alam,Taman Nasional",Banten,4.4,7500.0,taman nasional terkenal keindahan alamnya termasuk hutan hujan tropis pantai pantai yang eksotis keanekaragaman hayati yang melimpah selain taman nasional ujung kulon menjadi tempat perlindungan bagi spesies langka seperti badak bercula satu budaya cagar alam taman nasional banten
