row_idx,item_id,place_name,category,city
93,93,Taman Wisata Alam Punti Kayu,"Budaya,Cagar Alam",Palembang
94,94,Taman Nasional Teluk Cendrawasih,Taman Nasional,Papua Barat
95,95,Taman Hutan Raya Sultan Syarif Hasyim,"Cagar Alam,Taman Nasional",Pekanbaru
96,96,Taman Nasional Tesso Nilo,"Cagar Alam,Taman Nasional",Pelalawan
97,97,Taman Hutan Raya Wan Abdul Rachman,"Cagar Alam,Taman Nasional",Pesawaran
98,98,Taman Wisata Alam Hutan Albasia,"Budaya,Cagar Alam",Pontianak
99,99,Taman Buru Gunung Masigit Kareumbi,Cagar Alam,Purwakarta
100,100,Taman Nasional Kutai,"Cagar Alam,Taman Nasional",Samarinda
101,101,Air Terjun Kali Pancur,Cagar Alam,Semarang
102,102,Air Terjun Semirang,Cagar Alam,Semarang
103,103,Brown Canyon,Cagar Alam,Semarang
104,104,Candi Gedong Songo,Budaya,Semarang
105,105,Danau Rawa Pening,Cagar Alam,Semarang
106,106,Desa Wisata Lembah Kalipancur,"Desa Wisata,Taman Hiburan",Semarang
107,107,Durian Gardens and Tourism Education Watu Simbar,"Budaya,Cagar Alam",Semarang
108,108,Goa Rong,"Budaya,Cagar Alam",Semarang
109,109,Hutan Wisata Tinjomoyo Semarang,Cagar Alam,Semarang
110,110,Kampoeng Kopi Banaran,"Budaya,Taman Hiburan",Semarang
111,111,Kampoeng Rawa,Cagar Alam,Semarang
112,112,Obyek Wisata Goa Kreo,"Budaya,Cagar Alam",Semarang
113,113,Waduk Jatibarang Mijen,Cagar Alam,Semarang
114,114,Watu Gunung Ungaran,Cagar Alam,Semarang
115,115,Wisata Alam Wana Wisata Penggaron,Cagar Alam,Semarang
116,116,Wisata Lereng Kelir,Cagar Alam,Semarang
117,117,Wisata Mangrove Tapak,"Budaya,Cagar Alam",Semarang
118,118,Taman Nasional Baluran,"Cagar Alam,Taman Nasional",Situbondo
119,119,Desa Wisata Kinahrejo,Desa Wisata,Sleman
120,120,Taman Nasional Kerinci Seblat,"Taman Nasional,Cagar Alam",Solok Selatan
121,121,Taman Wisata Tirta Alam,"Budaya,Cagar Alam",Subang
122,122,Taman Wisata Alam Curug Cipendok,"Budaya,Cagar Alam",Sukabumi
123,123,Taman Wisata Alam Situgunung,"Budaya,Cagar Alam",Sukabumi
124,124,Danau Toba,"Budaya,Cagar Alam,Desa Wisata",Sumatra Utara
125,125,Ekowisata Mangrove Wonorejo,"Cagar Alam,Taman Hiburan",Surabaya
126,126,Kebun Bibit Wonorejo,Cagar Alam,Surabaya
127,127,Taman Flora Bratang Surabaya,Taman Hiburan,Surabaya
128,128,Taman Wisata Alam Telaga Menjer,"Budaya,Cagar Alam",Wonosobo
129,129,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta
130,130,Air Terjun Sri Gethuk,Cagar Alam,Yogyakarta
131,131,Blue Lagoon Jogja,"Bahari,Taman Hiburan",Yogyakarta
132,132,Bukit Lintang Sewu,"Cagar Alam,Taman Hiburan",Yogyakarta
133,133,Bukit Panguk Kediwung,"Budaya,Cagar Alam",Yogyakarta
134,134,Bukit Wisata Pulepayung,Cagar Alam,Yogyakarta
135,135,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta
136,136,Desa Wisata Kalibiru,"Budaya,Cagar Alam",Yogyakarta
137,137,Desa Wisata Kelor,"Desa Wisata,Taman Hiburan",Yogyakarta
138,138,Desa Wisata Pulesari ,"Desa Wisata,Taman Hiburan",Yogyakarta
139,139,Desa Wisata Sungai Code Jogja Kota,"Budaya,Taman Hiburan",Yogyakarta
140,140,Goa Cerme,"Budaya,Cagar Alam",Yogyakarta
141,141,Goa Jomblang,"Budaya,Cagar Alam",Yogyakarta
142,142,Goa Pindul ,"Budaya,Cagar Alam",Yogyakarta
143,143,Goa Rancang Kencono,"Budaya,Cagar Alam",Yogyakarta
144,144,Grojogan Watu Purbo Bangunrejo,"Cagar Alam,Taman Hiburan",Yogyakarta
145,145,Hutan Pinus Pengger,"Cagar Alam,Taman Hiburan",Yogyakarta
146,146,Jogja Exotarium,Taman Hiburan,Yogyakarta
147,147,Jurang Tembelan Kanigoro,"Cagar Alam,Taman Hiburan",Yogyakarta
148,148,Lava Bantal,"Budaya,Cagar Alam",Yogyakarta
149,149,Ledok Sambi,Cagar Alam,Yogyakarta
150,150,Museum Ullen Sentalu,Budaya,Yogyakarta
151,151,Pantai Baron,"Bahari,Cagar Alam",Yogyakarta
152,152,Pantai Drini,"Bahari,Cagar Alam",Yogyakarta
153,153,Pantai Goa Cemara,"Bahari,Cagar Alam",Yogyakarta
154,154,Pantai Greweng,"Bahari,Cagar Alam",Yogyakarta
155,155,Pantai Indrayanti ,"Bahari,Cagar Alam",Yogyakarta
156,156,Pantai Jogan,"Bahari,Cagar Alam",Yogyakarta
157,157,Pantai Jungwok,"Bahari,Cagar Alam",Yogyakarta
158,158,Pantai Kesirat,"Bahari,Cagar Alam",Yogyakarta
159,159,Pantai Krakal,"Bahari,Cagar Alam",Yogyakarta
160,160,Pantai Nglambor,"Bahari,Cagar Alam",Yogyakarta
161,161,Pantai Ngrenehan,"Bahari,Cagar Alam",Yogyakarta
162,162,Pantai Nguluran,"Bahari,Cagar Alam",Yogyakarta
163,163,Pantai Parangtritis,"Bahari,Cagar Alam",Yogyakarta
164,164,Pantai Patihan,"Bahari,Cagar Alam",Yogyakarta
165,165,Pantai Sadranan,"Bahari,Cagar Alam",Yogyakarta
166,166,Pantai Samas ,"Bahari,Cagar Alam",Yogyakarta
167,167,Pantai Sedahan,"Bahari,Cagar Alam",Yogyakarta
168,168,Pantai Siung,"Bahari,Cagar Alam",Yogyakarta
169,169,Pantai Timang,"Bahari,Cagar Alam",Yogyakarta
170,170,Pantai Watu Kodok,"Bahari,Cagar Alam",Yogyakarta
171,171,Pantai Wediombo,"Bahari,Cagar Alam",Yogyakarta
172,172,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta
173,173,Puncak Kebun Buah Mangunan,"Cagar Alam,Taman Hiburan",Yogyakarta
174,174,Puncak Pinus Becici,"Cagar Alam,Taman Hiburan",Yogyakarta
175,175,Seribu Batu Songgo Langit,"Budaya,Cagar Alam",Yogyakarta
176,176,Sindu Kusuma Edupark (SKE),"Cagar Alam,Taman Hiburan",Yogyakarta
177,177,Studio Alam Gamplong,Taman Hiburan,Yogyakarta
178,178,Watu Goyang,"Budaya,Cagar Alam",Yogyakarta
179,179,Watu Lumbung,Cagar Alam,Yogyakarta
180,180,Wisata Alam Kalibiru,"Budaya,Cagar Alam",Yogyakarta
181,181,Wisata Kaliurang,Cagar Alam,Yogyakarta
